한자,급수
不,"7급, "
而,"3급, "
以,"5급, "
於,"3급, "
問,"7급, "
行,"6급, "
必,"5급, "
能,"5급, "
在,"6급, "
大,"8급, "
已,"3급, "
天,"7급, "
善,"5급, "
後,"7급, "
足,"7급, "
過,"5급, "
十,"8급, "
及,"3급, "
予,"3급, "
友,"5급, "
猶,"3급, "
周,"4급, "
莫,"3급, "
達,"4급, "
弟,"8급, "
唯,"3급, "
疾,"3급, "
將,"4급, "
丘,"3급, "
安,"7급, "
二,"8급, "
宰,"3급, "
叔,"4급, "
方,"7급, "
世,"7급, "
力,"7급, "
恭,"3급, "
退,"4급, "
去,"5급, "
古,"6급, "
惠,"4급, "
陳,"3급, "
遲,"3급, "
辟,"특급, "
嘗,"3급, "
次,"4급, "
親,"6급, "
召,"3급, "
于,"3급, "
車,", 7급"
內,"7급, "
聖,"4급, "
讓,"3급, "
心,"7급, "
神,"6급, "
裘,"특급, "
篤,"3급, "
沒,"3급, "
器,"4급, "
罪,"5급, "
戰,"6급, "
臧,"특2급, "
舊,"5급, "
舍,"4급, "
飯,"3급, "
末,"5급, "
本,"6급, "
主,"7급, "
抑,"3급, "
溫,"6급, "
寧,"3급, "
飮,"6급, "
木,"8급, "
里,"7급, , 7급"
蓋,"3급, "
幾,"3급, "
遊,"4급, "
喜,"4급, "
妻,"3급, "
剛,"3급, "
希,"4급, "
忘,"3급, "
恆,", 3급"
宿,"5급, "
厲,"특급, "
階,"4급, "
賊,"4급, "
戒,"4급, "
陽,"6급, "
省,"6급, "
耳,"5급, "
商,"5급, "
賤,"3급, "
弑,"1급, "
高,"6급, "
軍,"8급, "
西,"8급, "
絶,"4급, "
風,"6급, "
偲,"특급, "
柳,"4급, "
羣,", 2급"
毁,"3급, "
慍,"특급, "
竭,"1급, "
飽,"3급, "
社,"6급, "
邑,"7급, "
望,"5급, "
申,"4급, "
短,"6급, "
陋,"1급, "
河,"5급, "
巫,"1급, "
鳳,"3급, "
詐,"3급, "
狐,"1급, "
鞠,"2급, "
降,"4급, "
量,"5급, "
槨,"1급, "
噫,"2급, "
貨,"4급, "
哂,"특급, "
會,"6급, "
獨,"5급, "
愬,"특급, "
盜,"4급, "
速,"6급, "
彼,"3급, "
肆,"특2급, "
磬,"1급, "
火,"8급, "
帝,"4급, "
傳,"5급, "
犬,"4급, "
穆,"2급, "
媚,"1급, "
栗,"3급, "
塞,", 3급"
坫,"특급, "
土,"8급, "
逮,"3급, "
冶,"1급, "
彫,"2급, "
性,"5급, "
徙,"1급, "
哭,"3급, "
虛,"4급, "
吳,"2급, "
鳴,"4급, "
豆,"4급, "
毅,"1급, "
愿,"특2급, "
婦,"4급, "
試,"4급, "
叩,"1급, "
歎,"4급, "
誦,"3급, "
恂,"특2급, "
躩,"특급, "
緇,"특2급, "
玄,"3급, "
式,"6급, "
負,"4급, "
點,"4급, "
春,"7급, "
譖,"특급, "
辨,"3급, "
慝,"1급, "
狷,"특급, "
討,"4급, "
並,", 4급"
工,"7급, "
譽,"3급, "
某,"3급, "
肹,", 1급"
汎,"2급, "
北,"8급, "
邪,"3급, "
矩,"1급, "
軏,"특급, "
嗚,"3급, "
絢,"1급, "
掌,"3급, "
科,"6급, "
咎,"특2급, "
皦,", 2급"
儀,"4급, "
造,"4급, "
夕,"7급, "
縲,", 1급"
朽,"1급, "
桑,"3급, "
貳,"2급, "
簞,"1급, "
濟,"4급, "
黙,", 3급"
講,"4급, "
怪,"3급, "
魋,"특급, "
網,"2급, "
保,"4급, "
誄,", 2급"
倍,"5급, "
侗,"특급, "
玆,"3급, "
誘,"3급, "
忮,"특급, "
逞,"1급, "
享,"3급, "
緅,"특급, "
帷,"특급, "
布,"4급, "
膾,"1급, "
細,"4급, "
臭,"3급, "
飪,", 2급"
醬,"1급, "
熟,"3급, "
殯,"1급, "
凶,"5급, "
集,"6급, "
雉,"2급, "
斂,"1급, "
柴,"2급, "
參,"5급, , 4급"
喭,", 2급"
禝,", 1급"
讀,"6급, "
率,", 6급"
撰,"1급, "
片,"3급, "
閒,"특2급, "
荊,"1급, "
莒,"특급, "
筲,", 2급"
羿,"특급, "
盪,"특급, "
舟,"3급, "
俱,"3급, "
荅,", 2급"
齒,"4급, "
僎,"특급, "
怍,", 2급"
畝,"1급, "
總,"4급, "
脛,"1급, "
俎,"특2급, "
借,"3급, "
貞,"3급, "
戈,"2급, "
佚,"1급, "
愆,"특2급, "
聰,"3급, "
迷,"3급, "
移,"4급, "
磷,", 2급"
匏,"특2급, "
鐘,"특2급, "
荏,"특2급, "
穿,"1급, "
悲,"4급, "
燧,"특2급, "
訕,", 2급"
芸,"2급, "
黍,"1급, "
亞,"3급, "
缺,"4급, "
播,"3급, "
漢,"7급, "
突,"3급, "
隨,"3급, "
騧,"특급, "
散,"4급, "
墜,"1급, "
厤,", 1급"
審,"3급, "
度,"6급, "
